frequency,Re(Z)/Ohm,#NAME?
2.48E+01,76389.89844,-21021.49219
2.32E+01,76956.78125,-21240.8125
2.17E+01,77171.39844,-22118.48242
2.03E+01,79341.96094,-22681.39648
1.90E+01,80202.45313,-23572.00781
1.78E+01,81052.53906,-23828.94336
1.67E+01,81597.78125,-25201.0332
1.56E+01,84216.85938,-25719.86523
1.46E+01,84400.50781,-26446.4707
1.37E+01,87055.22656,-26771.59375
1.28E+01,87310.55469,-26583.45313
1.20E+01,87092.89844,-28013.60742
1.12E+01,90695,-28779.10547
1.05E+01,90750.99219,-27415.01172
9.85E+00,91702.16406,-29853.9043
9.22E+00,95196.09375,-29638.38867
8.63E+00,94362.13281,-30126.74609
8.08E+00,96907.32813,-29756.66211
7.57E+00,96637.42969,-31554.04883
7.08E+00,97819.17969,-30614.56641
