frequency,Re(Z),Img(Z)
1.00E+06,4.18E+03,-8.59E+03
9.26E+05,4.61E+03,-9.04E+03
8.58E+05,5.10E+03,-9.30E+03
7.94E+05,5.54E+03,-9.48E+03
7.36E+05,5.97E+03,-9.70E+03
6.81E+05,6.47E+03,-9.95E+03
6.31E+05,6.95E+03,-1.02E+04
5.84E+05,7.47E+03,-1.04E+04
5.41E+05,8.07E+03,-1.07E+04
5.01E+05,8.69E+03,-1.10E+04
4.64E+05,9.15E+03,-1.11E+04
4.30E+05,9.66E+03,-1.14E+04
3.98E+05,1.01E+04,-1.15E+04
3.69E+05,1.08E+04,-1.17E+04
3.41E+05,1.12E+04,-1.21E+04
3.16E+05,1.19E+04,-1.23E+04
2.93E+05,1.25E+04,-1.25E+04
2.71E+05,1.31E+04,-1.27E+04
2.51E+05,1.36E+04,-1.31E+04
2.33E+05,1.41E+04,-1.31E+04
2.15E+05,1.47E+04,-1.34E+04
2.00E+05,1.54E+04,-1.35E+04
1.85E+05,1.61E+04,-1.39E+04
1.71E+05,1.68E+04,-1.40E+04
1.58E+05,1.76E+04,-1.42E+04
1.47E+05,1.81E+04,-1.45E+04
1.36E+05,1.86E+04,-1.46E+04
1.26E+05,1.94E+04,-1.49E+04
1.17E+05,2.01E+04,-1.52E+04
1.08E+05,2.10E+04,-1.53E+04
1.00E+05,2.18E+04,-1.56E+04
9.26E+04,2.27E+04,-1.58E+04
8.58E+04,2.36E+04,-1.59E+04
7.94E+04,2.43E+04,-1.60E+04
7.36E+04,2.53E+04,-1.62E+04
6.81E+04,2.59E+04,-1.62E+04
6.31E+04,2.69E+04,-1.63E+04
5.84E+04,2.79E+04,-1.64E+04
5.41E+04,2.89E+04,-1.63E+04
5.01E+04,3.00E+04,-1.63E+04
4.64E+04,3.10E+04,-1.63E+04
4.30E+04,3.18E+04,-1.62E+04
3.98E+04,3.24E+04,-1.59E+04
3.69E+04,3.35E+04,-1.57E+04
3.41E+04,3.45E+04,-1.55E+04
3.16E+04,3.53E+04,-1.52E+04
2.93E+04,3.64E+04,-1.50E+04
2.71E+04,3.72E+04,-1.45E+04
2.51E+04,3.80E+04,-1.42E+04
2.33E+04,3.86E+04,-1.38E+04
2.15E+04,3.93E+04,-1.34E+04
