frequency,Re(Z),Img(Z)
1.99E+04,4.01E+04,-1.28E+04
1.85E+04,4.06E+04,-1.24E+04
1.71E+04,4.13E+04,-1.20E+04
1.58E+04,4.18E+04,-1.16E+04
1.47E+04,4.21E+04,-1.09E+04
1.36E+04,4.29E+04,-1.07E+04
1.26E+04,4.33E+04,-1.02E+04
1.17E+04,4.36E+04,-9.77E+03
1.08E+04,4.40E+04,-9.15E+03
1.00E+04,4.43E+04,-8.58E+03
9.26E+03,4.45E+04,-8.42E+03
8.57E+03,4.50E+04,-7.81E+03
7.94E+03,4.52E+04,-7.33E+03
7.35E+03,4.56E+04,-6.99E+03
6.81E+03,4.55E+04,-6.63E+03
6.31E+03,4.58E+04,-5.96E+03
5.84E+03,4.57E+04,-5.92E+03
5.41E+03,4.60E+04,-5.60E+03
5.01E+03,4.61E+04,-5.15E+03
4.64E+03,4.63E+04,-5.04E+03
4.30E+03,4.60E+04,-4.58E+03
3.98E+03,4.62E+04,-4.34E+03
3.69E+03,4.60E+04,-4.10E+03
3.42E+03,4.63E+04,-3.74E+03
3.16E+03,4.65E+04,-3.42E+03
2.93E+03,4.61E+04,-3.34E+03
2.71E+03,4.62E+04,-3.33E+03
2.51E+03,4.62E+04,-3.18E+03
2.33E+03,4.63E+04,-2.90E+03
2.15E+03,4.63E+04,-2.74E+03
2.00E+03,4.61E+04,-2.48E+03
1.85E+03,4.62E+04,-2.22E+03
1.71E+03,4.63E+04,-2.29E+03
1.58E+03,4.63E+04,-2.04E+03
1.47E+03,4.60E+04,-2.18E+03
1.36E+03,4.61E+04,-2.02E+03
1.26E+03,4.62E+04,-1.81E+03
1.17E+03,4.59E+04,-1.69E+03
1.08E+03,4.60E+04,-1.52E+03
1.00E+03,4.59E+04,-1.37E+03
9.26E+02,4.59E+04,-1.35E+03
8.58E+02,4.58E+04,-1.40E+03
7.94E+02,4.57E+04,-1.59E+03
7.36E+02,4.56E+04,-1.34E+03
6.81E+02,4.55E+04,-1.19E+03
6.31E+02,4.56E+04,-1.38E+03
5.84E+02,4.56E+04,-1.45E+03
5.41E+02,4.55E+04,-1.41E+03
5.01E+02,4.53E+04,-1.23E+03
4.64E+02,4.50E+04,-1.33E+03
4.30E+02,4.51E+04,-1.41E+03
3.98E+02,4.52E+04,-1.40E+03
3.69E+02,4.51E+04,-1.54E+03
3.41E+02,4.48E+04,-1.72E+03
3.16E+02,4.48E+04,-1.38E+03
2.93E+02,4.47E+04,-1.59E+03
2.71E+02,4.48E+04,-1.93E+03
2.51E+02,4.49E+04,-1.83E+03
2.33E+02,4.48E+04,-2.00E+03
2.15E+02,4.44E+04,-1.97E+03
2.00E+02,4.46E+04,-2.10E+03
1.85E+02,4.46E+04,-2.58E+03
1.71E+02,4.46E+04,-2.73E+03
1.59E+02,4.45E+04,-2.88E+03
1.47E+02,4.44E+04,-2.96E+03
1.36E+02,4.43E+04,-3.08E+03
1.26E+02,4.44E+04,-3.53E+03
1.17E+02,4.46E+04,-3.69E+03
1.08E+02,4.47E+04,-3.95E+03
1.00E+02,4.47E+04,-4.11E+03
9.26E+01,4.47E+04,-4.32E+03
8.58E+01,4.47E+04,-4.73E+03
7.94E+01,4.50E+04,-4.99E+03
7.36E+01,4.52E+04,-5.49E+03
6.81E+01,4.52E+04,-5.79E+03
6.31E+01,4.52E+04,-5.96E+03
5.84E+01,4.52E+04,-6.35E+03
5.41E+01,4.56E+04,-6.83E+03
5.01E+01,4.60E+04,-7.37E+03
4.64E+01,4.64E+04,-7.69E+03
4.30E+01,4.63E+04,-7.96E+03
3.98E+01,4.65E+04,-8.35E+03
3.69E+01,4.69E+04,-8.65E+03
3.41E+01,4.72E+04,-9.33E+03
3.16E+01,4.80E+04,-9.95E+03
2.93E+01,4.83E+04,-1.03E+04
2.71E+01,4.83E+04,-1.06E+04
2.51E+01,4.89E+04,-1.10E+04
2.33E+01,4.94E+04,-1.16E+04
2.16E+01,5.04E+04,-1.16E+04
2.00E+01,5.09E+04,-1.25E+04
1.85E+01,5.12E+04,-1.29E+04
1.71E+01,5.17E+04,-1.33E+04
1.58E+01,5.21E+04,-1.40E+04
1.47E+01,5.28E+04,-1.45E+04
1.36E+01,5.40E+04,-1.49E+04
1.26E+01,5.45E+04,-1.52E+04
1.17E+01,5.50E+04,-1.58E+04
1.08E+01,5.55E+04,-1.62E+04
1.00E+01,5.67E+04,-1.67E+04
9.26E+00,5.77E+04,-1.71E+04
8.58E+00,5.87E+04,-1.75E+04
7.94E+00,5.90E+04,-1.82E+04
7.36E+00,6.01E+04,-1.82E+04
6.81E+00,6.06E+04,-1.87E+04
6.31E+00,6.26E+04,-1.98E+04
5.84E+00,6.30E+04,-1.97E+04
5.41E+00,6.40E+04,-2.04E+04
5.01E+00,6.45E+04,-2.00E+04
4.64E+00,6.54E+04,-2.04E+04
4.30E+00,6.68E+04,-2.05E+04
3.98E+00,6.90E+04,-2.17E+04
3.69E+00,6.94E+04,-2.16E+04
3.41E+00,7.03E+04,-2.22E+04
3.16E+00,7.09E+04,-2.15E+04
2.93E+00,7.32E+04,-2.25E+04
2.71E+00,7.27E+04,-2.21E+04
2.51E+00,7.33E+04,-2.36E+04
2.33E+00,7.47E+04,-2.34E+04
2.15E+00,7.63E+04,-2.48E+04
2.00E+00,7.93E+04,-2.32E+04
1.85E+00,7.80E+04,-2.33E+04
1.71E+00,7.89E+04,-2.63E+04
1.58E+00,8.24E+04,-2.43E+04
1.47E+00,8.01E+04,-2.36E+04
1.36E+00,8.31E+04,-2.64E+04
1.26E+00,8.38E+04,-2.43E+04
1.17E+00,8.74E+04,-2.60E+04
1.08E+00,8.52E+04,-2.61E+04
1.00E+00,8.75E+04,-2.46E+04
