frequency,Re(Z),Img(Z)
926000.0,4410.0,-12900.0
858000.0,4960.0,-13600.0
794000.0,5560.0,-14300.0
736000.0,6250.0,-15000.0
681000.0,7040.0,-15800.0
631000.0,7780.0,-16500.0
584000.0,8680.0,-17300.0
541000.0,9670.0,-18100.0
501000.0,10700.0,-18500.0
464000.0,11600.0,-19300.0
430000.0,12700.0,-20000.0
398000.0,13800.0,-20500.0
369000.0,14900.0,-21100.0
341000.0,16000.0,-21700.0
316000.0,17300.0,-22100.0
293000.0,18500.0,-22700.0
271000.0,19800.0,-23100.0
251000.0,21000.0,-23500.0
233000.0,22200.0,-23900.0
215000.0,23500.0,-24300.0
200000.0,24800.0,-24600.0
185000.0,25900.0,-24900.0
171000.0,27200.0,-25300.0
158000.0,28500.0,-25500.0
147000.0,29900.0,-25700.0
136000.0,30800.0,-26000.0
126000.0,32300.0,-26400.0
117000.0,33500.0,-26700.0
108000.0,34800.0,-26900.0
100000.0,36100.0,-27400.0
92600.0,37100.0,-27700.0
85800.0,38500.0,-28000.0
79400.0,39800.0,-28300.0
73600.0,41000.0,-28800.0
68100.0,41800.0,-29400.0
63100.0,43000.0,-29900.0
58400.0,44200.0,-30200.0
54100.0,45900.0,-30600.0
50100.0,47100.0,-31300.0
46400.0,48600.0,-31700.0
43000.0,50000.0,-32200.0
39800.0,51600.0,-32900.0
36900.0,53100.0,-33400.0
34100.0,54600.0,-33900.0
31600.0,56100.0,-34800.0
29300.0,57900.0,-35200.0
27100.0,59600.0,-35800.0
25100.0,61600.0,-36500.0
23300.0,63400.0,-37200.0
21500.0,65500.0,-37700.0
19900.0,67100.0,-38800.0
18500.0,69200.0,-39200.0
17100.0,72000.0,-39800.0
15800.0,74200.0,-40200.0
14700.0,76400.0,-40800.0
13600.0,78600.0,-41300.0
12600.0,81000.0,-41600.0
11700.0,83800.0,-41400.0
10800.0,86700.0,-41800.0
10000.0,89500.0,-41600.0
9260.0,91800.0,-41800.0
8570.0,94700.0,-41500.0
7940.0,97800.0,-40800.0
7350.0,100000.0,-40400.0
6810.0,103000.0,-39500.0
6310.0,106000.0,-39100.0
5840.0,108000.0,-38300.0
5410.0,110000.0,-37200.0
5010.0,113000.0,-36000.0
4640.0,115000.0,-34600.0
4300.0,117000.0,-33600.0
3980.0,119000.0,-32300.0
3690.0,121000.0,-31000.0
3420.0,122000.0,-30100.0
3160.0,124000.0,-28400.0
2930.0,125000.0,-27300.0
2710.0,127000.0,-26000.0
2510.0,128000.0,-24500.0
2330.0,129000.0,-23100.0
2150.0,130000.0,-22000.0
2000.0,131000.0,-20800.0
1850.0,132000.0,-19800.0
1710.0,133000.0,-18400.0
1580.0,134000.0,-17400.0
1470.0,135000.0,-16200.0
1360.0,135000.0,-15100.0
1260.0,136000.0,-14100.0
1170.0,137000.0,-13200.0
1080.0,137000.0,-12300.0
1000.0,137000.0,-11600.0
926.0,138000.0,-10600.0
858.0,138000.0,-9720.0
794.0,138000.0,-9180.0
736.0,139000.0,-8580.0
681.0,139000.0,-7670.0
631.0,139000.0,-7190.0
584.0,139000.0,-6390.0
541.0,139000.0,-5800.0
501.0,139000.0,-5420.0
464.0,140000.0,-4970.0
430.0,140000.0,-4670.0
398.0,140000.0,-4530.0
369.0,140000.0,-3980.0
341.0,140000.0,-3680.0
316.0,140000.0,-3390.0
293.0,140000.0,-3370.0
271.0,140000.0,-3200.0
251.0,140000.0,-3140.0
233.0,140000.0,-3250.0
215.0,140000.0,-3190.0
200.0,140000.0,-3110.0
185.0,140000.0,-3490.0
171.0,140000.0,-3690.0
159.0,139000.0,-3690.0
147.0,140000.0,-3940.0
136.0,140000.0,-4420.0
126.0,140000.0,-4880.0
117.0,140000.0,-5340.0
108.0,140000.0,-5660.0
100.0,140000.0,-6250.0
92.6,140000.0,-6510.0
85.8,141000.0,-7170.0
79.4,141000.0,-7960.0
73.6,141000.0,-8410.0
68.1,141000.0,-9380.0
63.1,142000.0,-9660.0
58.4,142000.0,-10600.0
54.1,143000.0,-11000.0
50.1,144000.0,-13500.0
46.4,144000.0,-12500.0
43.0,144000.0,-13900.0
39.8,145000.0,-14600.0
36.9,146000.0,-15600.0
34.1,146000.0,-16500.0
31.6,147000.0,-17500.0
29.3,148000.0,-18600.0
27.1,148000.0,-19700.0
25.1,149000.0,-20900.0
23.3,150000.0,-22000.0
21.6,152000.0,-23500.0
20.0,152000.0,-25100.0
18.5,154000.0,-26100.0
17.1,155000.0,-27500.0
15.8,156000.0,-29400.0
14.7,158000.0,-30300.0
13.6,159000.0,-32000.0
12.6,161000.0,-33400.0
11.7,163000.0,-34900.0
10.8,165000.0,-36400.0
10.0,167000.0,-37700.0
9.26,169000.0,-39100.0
8.58,171000.0,-40500.0
7.94,174000.0,-42100.0
7.36,176000.0,-43600.0
6.81,178000.0,-44500.0
6.31,181000.0,-45900.0
5.84,184000.0,-46500.0
5.41,187000.0,-48400.0
5.01,189000.0,-49100.0
4.64,192000.0,-49800.0
4.3,195000.0,-51600.0
3.98,198000.0,-52400.0
3.69,201000.0,-52600.0
3.41,205000.0,-53300.0
3.16,207000.0,-55300.0
2.93,210000.0,-55700.0
2.71,213000.0,-56100.0
2.51,216000.0,-56300.0
2.33,220000.0,-57100.0
2.15,223000.0,-59300.0
2.0,226000.0,-59300.0
1.85,228000.0,-59500.0
1.71,232000.0,-59700.0
1.58,236000.0,-59400.0
1.47,240000.0,-60800.0
1.36,244000.0,-62800.0
1.26,246000.0,-64100.0
1.17,249000.0,-63800.0
1.08,252000.0,-63300.0
1.0,255000.0,-62700.0
