frequency,Re(Z),Img(Z)
2.65E+01,67975.15625,-19795.78125
2.48E+01,69801.13281,-20291.47461
2.32E+01,71089.74219,-21202.85156
2.17E+01,72411.97656,-21060.32227
2.03E+01,72564.35156,-21973.29297
1.90E+01,74375.57813,-21914.14648
1.78E+01,75435.71875,-22652.63281
1.67E+01,76503.22656,-22210.54492
1.56E+01,76526.32031,-23005.83203
1.46E+01,78393.58594,-23919.92188
1.37E+01,78648.55469,-24365.67773
1.28E+01,81365.88281,-24599.76367
1.20E+01,81865.29688,-23547.84766
1.12E+01,81980.1875,-25171.11133
1.05E+01,85412.90625,-25865.19141
9.85E+00,85303.99219,-24344.98242
9.22E+00,86135.36719,-26107.38477
8.63E+00,87629.51563,-25125.13672
8.08E+00,89375.11719,-27065.00391
7.57E+00,89280.50781,-26286.6875
7.08E+00,91808.05469,-26307.49023
