frequency,Re(Z)/Ohm,#NAME?
28.3,67431.57031,-19490.09961
26.5,67975.15625,-19795.78125
24.8,69801.13281,-20291.47461
23.2,71089.74219,-21202.85156
21.7,72411.97656,-21060.32227
20.3,72564.35156,-21973.29297
19.0,74375.57813,-21914.14648
17.8,75435.71875,-22652.63281
16.7,76503.22656,-22210.54492
15.6,76526.32031,-23005.83203
14.6,78393.58594,-23919.92188
13.7,78648.55469,-24365.67773
12.8,81365.88281,-24599.76367
12.0,81865.29688,-23547.84766
11.2,81980.1875,-25171.11133
10.5,85412.90625,-25865.19141
9.85,85303.99219,-24344.98242
9.22,86135.36719,-26107.38477
8.63,87629.51563,-25125.13672
8.08,89375.11719,-27065.00391
7.57,89280.50781,-26286.6875
7.08,91808.05469,-26307.49023
