frequency,Re(Z)/Ohm,#NAME?
1.00E+06,2869.0835,-9354.90723
9.36E+05,3257.30859,-9836.22559
8.77E+05,3685.5769,-10365.85645
8.21E+05,3982.68604,-10868.61719
7.68E+05,4455.01758,-11402.60742
7.19E+05,4942.11963,-11875.56738
6.74E+05,5385.30029,-12460.00195
6.31E+05,5840.34131,-12941.42871
5.90E+05,6528.26758,-13573.55762
5.53E+05,6934.35156,-14176.63281
5.17E+05,7707.05273,-14723.92188
4.85E+05,8394.25195,-15359.54492
4.54E+05,9076.92383,-15882.86914
4.25E+05,9779.18262,-16296.57129
3.98E+05,10568.1084,-16919.18164
3.72E+05,11341.08984,-17472.24219
3.49E+05,12181.54883,-18179.50586
3.26E+05,12852.64746,-18837.95313
3.06E+05,13846.50293,-19228.1582
2.86E+05,14753.16895,-19788.63086
2.68E+05,15755.63477,-20042.67578
2.51E+05,16678.01953,-20565.92383
2.35E+05,17629.44141,-21057.98047
2.20E+05,18817.92773,-21631.57617
2.06E+05,20163.37305,-22159.43359
1.93E+05,21004.1582,-22507.29883
1.80E+05,22043.27344,-22958.27734
1.69E+05,23235.88086,-23215.98242
1.58E+05,24109.77734,-23406.02344
1.48E+05,25100.23242,-23524.84766
1.39E+05,26643.67578,-24111.01563
1.30E+05,27732.41211,-24683.89648
1.21E+05,29291.79102,-24904.69531
1.14E+05,30275.82227,-25114.45898
1.06E+05,31650.55859,-25279.36914
9.97E+04,32337.86523,-25738.7832
9.33E+04,33790.57031,-25731.16602
8.74E+04,34884.46094,-25945.68359
8.18E+04,36343.32031,-26430.93945
7.66E+04,37908.78906,-26615.10352
7.17E+04,39435.66016,-27140.95703
6.71E+04,39974.06641,-27429.625
6.29E+04,41351.13672,-27468.43359
5.89E+04,42608.51563,-27302.17383
5.51E+04,43333.65234,-27311.92773
5.16E+04,44958.62109,-27695.45117
4.83E+04,46755.82422,-27613.91602
4.52E+04,48622.58203,-28160.48438
4.23E+04,50536.22656,-28121.08789
3.96E+04,51964.63672,-28153.85742
3.71E+04,53177.47656,-28445.43945
3.47E+04,54478.28125,-27992.67969
3.25E+04,55622.75781,-27680.56836
3.05E+04,57378.56641,-27068.29297
2.85E+04,58793.25,-26984.25391
2.67E+04,60810.40625,-26525.9082
2.50E+04,62280.05859,-26349.95313
2.34E+04,64100.53125,-26076.33008
2.19E+04,65632.64063,-25271.9082
2.05E+04,66966.25,-24834.39453
1.92E+04,68483.53125,-23668.81445
1.80E+04,68823.92969,-23110.91211
1.68E+04,70149.17188,-22049.99414
1.58E+04,71702.76563,-21188.91211
1.48E+04,73049.91406,-20333.7168
1.38E+04,74120.6875,-19485.38672
1.29E+04,75122.34375,-18969.24609
1.21E+04,75708.13281,-17878.59766
1.13E+04,75988.38281,-17143.5918
1.06E+04,75960.71875,-16010.34473
9.94E+03,76906.78906,-15127.2959
9.31E+03,77709.85156,-13736.29004
8.71E+03,78196.88281,-13439.5791
8.15E+03,78814.03906,-12759.42871
7.63E+03,78462.07031,-11806.02148
7.15E+03,78574.25,-10919.95215
6.69E+03,79126.07813,-10396.35352
6.27E+03,80013.17188,-9593.61914
5.87E+03,79766.75,-9242.56055
5.50E+03,79348.71875,-8576.45508
5.14E+03,79047.29688,-7698.96826
4.82E+03,79750.02344,-7115.78613
4.51E+03,80199.34375,-6674.96484
4.22E+03,80023.84375,-6185.53271
3.95E+03,79820.03906,-5634.39014
3.70E+03,79501.95313,-5024.1626
3.46E+03,79530.21875,-4865.55371
3.24E+03,79798.42969,-4188.74219
3.04E+03,79998.30469,-3799.50781
2.84E+03,79750.60938,-3468.84009
2.66E+03,79459.17188,-3321.08691
2.49E+03,79692.92188,-2694.2417
2.33E+03,79343.24219,-2648.59082
2.18E+03,79619.33594,-2172.84082
2.05E+03,79476.85156,-1772.62964
1.91E+03,79496.16406,-1645.15735
1.79E+03,78766.375,-1385.43542
1.68E+03,78585.30469,-948.72308
1.57E+03,78981.99219,-1028.66333
1.47E+03,79029.76563,-843.77045
1.38E+03,78747.625,-114.51971
1.29E+03,77943.29688,-649.76007
1.21E+03,77988.82813,156.59767
1.13E+03,77896.20313,113.54838
1.06E+03,77964.10938,532.33746
9.91E+02,77449.36719,782.7973
9.28E+02,77061.32813,776.44287
8.69E+02,76429.34375,913.14349
8.13E+02,76554.28125,1119.38794
7.61E+02,76369.32031,1310.50256
7.13E+02,76089.03125,1475.36157
6.67E+02,75308.11719,1259.21143
6.25E+02,75201.01563,1785.53076
5.85E+02,74546.30469,1905.38123
5.48E+02,74690.70313,1843.93774
5.13E+02,74837.78906,2229.61255
4.80E+02,74297.78906,1737.10083
4.50E+02,73613.60156,2046.86401
4.21E+02,73108.71875,1887.6189
3.94E+02,72976.1875,1953.99268
3.69E+02,72763.0625,1891.88062
3.45E+02,72319.75781,1676.88123
3.23E+02,72132.63281,1985.72693
3.03E+02,71414.15625,1600.21313
2.83E+02,71017.71875,1741.96729
2.65E+02,70955.57031,1214.40234
2.48E+02,70801.27344,1177.40625
2.33E+02,70626.17188,1353.40674
2.18E+02,69826.53125,910.66736
2.04E+02,69618.3125,560.19611
1.91E+02,69147.85156,364.02399
1.79E+02,69027.5625,-82.84646
1.67E+02,68652.23438,-550.01068
1.57E+02,68253.58594,-561.5719
1.47E+02,67907.08594,-1033.43982
1.37E+02,67558.64063,-1342.43347
1.29E+02,67954.57031,-2086.94946
1.20E+02,68039.78125,-2495.45361
1.13E+02,67434.75,-3134.68628
1.06E+02,67499.71875,-3214.39893
9.88E+01,67140.01563,-4373.38672
9.25E+01,67206.79688,-4959.45361
8.66E+01,67550.85938,-5436.80811
8.11E+01,67609.08594,-6123.9707
7.59E+01,67696.57813,-6680.68164
7.11E+01,67351.125,-7321.29004
6.66E+01,67535.4375,-8174.22656
6.23E+01,68265.20313,-8732.7041
5.83E+01,68487.24219,-9606.34473
5.46E+01,68757.71094,-10278.7832
5.11E+01,68934.38281,-11005.80859
4.79E+01,69131.80469,-12009.67676
4.48E+01,69692.46094,-12467.10938
4.19E+01,70388.11719,-13453.44629
3.93E+01,71419.1875,-14013.49023
3.68E+01,71309.46875,-15143.87793
3.44E+01,71835.50781,-15502.93652
3.22E+01,72391.17188,-16266.72363
3.02E+01,73914.3125,-17565.10352
2.83E+01,74936.90625,-18443.39844
2.65E+01,75953.42188,-19317.47266
2.48E+01,75904.17188,-19883.98633
2.32E+01,76528.98438,-20956.7207
