frequency,Re(Z)/Ohm,#NAME?
2.17E+01,77832.73438,-21705.67969
2.03E+01,79337.79688,-22495.73633
1.90E+01,79709.35938,-22960.49023
1.78E+01,80888.55469,-24170.16602
1.67E+01,82718.47656,-24813.1582
1.56E+01,83655,-25866.07422
1.46E+01,85012.53906,-25295.09961
1.37E+01,86056.03906,-26634.23633
1.28E+01,86637.8125,-27635.16992
1.20E+01,88553.30469,-28338.23047
1.12E+01,89777.65625,-28269.58984
1.05E+01,90840.07813,-29050.33594
9.85E+00,92458.42969,-29733.43359
9.22E+00,93185.07031,-30199.63867
8.63E+00,95198.67969,-32018.78711
8.08E+00,95492.39063,-31735.41406
7.57E+00,98032.57813,-31538.71484
7.08E+00,98338.95313,-33213.00781
