R0,CPE1_Q,CPE1_alpha,R1,CPE2_Q,CPE2_alpha,R2,Wo1_0,Wo1_1
3.164354392271256984e+03
5.210443437455096821e-10
7.798458502247870294e-01
4.810623619270935160e+04
2.554827176308167938e-06
5.301250742870170507e-01
3.955548737689681584e+05
3.616104523838402542e+02
3.935649332093068369e+04
