Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Re(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),Img(Z),ech
1000000.0,926000.0,858000.0,794000.0,736000.0,681000.0,631000.0,584000.0,541000.0,501000.0,464000.0,430000.0,398000.0,369000.0,341000.0,316000.0,293000.0,271000.0,251000.0,233000.0,215000.0,200000.0,185000.0,171000.0,158000.0,147000.0,136000.0,126000.0,117000.0,108000.0,100000.0,92600.0,85800.0,79400.0,73600.0,68100.0,63100.0,58400.0,54100.0,50100.0,46400.0,43000.0,39800.0,36900.0,34100.0,31600.0,29300.0,27100.0,25100.0,23300.0,21500.0,19900.0,18500.0,17100.0,15800.0,14700.0,13600.0,12600.0,11700.0,10800.0,10000.0,9260.0,8570.0,7940.0,7350.0,6810.0,6310.0,5840.0,5410.0,5010.0,4640.0,4300.0,3980.0,3690.0,3420.0,3160.0,2930.0,2710.0,2510.0,2330.0,2150.0,2000.0,1850.0,1710.0,1580.0,1470.0,1360.0,1260.0,1170.0,1080.0,1000.0,926.0,858.0,794.0,736.0,681.0,631.0,584.0,541.0,501.0,464.0,430.0,398.0,369.0,341.0,316.0,293.0,271.0,251.0,233.0,215.0,200.0,185.0,171.0,159.0,147.0,136.0,126.0,117.0,108.0,100.0,92.6,85.8,79.4,73.6,68.1,63.1,58.4,54.1,50.1,46.4,43.0,39.8,36.9,34.1,31.6,29.3,27.1,25.1,23.3,21.6,20.0,18.5,17.1,15.8,14.7,13.6,12.6,11.7,10.8,10.0,9.26,8.58,7.94,7.36,6.81,6.31,5.84,5.41,5.01,4.64,4.3,3.98,3.69,3.41,3.16,2.93,2.71,2.51,2.33,2.15,2.0,1.85,1.71,1.58,1.47,1.36,1.26,1.17,1.08,1.0,3160.0,3480.0,3840.0,4210.0,4530.0,4870.0,5220.0,5570.0,5940.0,6330.0,6660.0,7190.0,7550.0,7970.0,8460.0,8930.0,9430.0,9950.0,10500.0,11000.0,11600.0,12200.0,12800.0,13500.0,14200.0,14700.0,15400.0,16200.0,16900.0,17700.0,18500.0,19300.0,20100.0,20900.0,21800.0,22700.0,23700.0,24600.0,25800.0,27000.0,28200.0,29300.0,30000.0,31200.0,32600.0,34100.0,35500.0,37100.0,38800.0,40700.0,41900.0,43300.0,44700.0,46600.0,48400.0,49800.0,51000.0,52100.0,53900.0,55200.0,56700.0,57800.0,58900.0,60300.0,61900.0,63100.0,64400.0,65700.0,67600.0,69400.0,71600.0,74100.0,76700.0,79700.0,82700.0,87100.0,91500.0,96500.0,102000.0,108000.0,115000.0,123000.0,130000.0,142000.0,152000.0,166000.0,178000.0,190000.0,208000.0,226000.0,244000.0,266000.0,288000.0,312000.0,336000.0,363000.0,391000.0,422000.0,454000.0,490000.0,526000.0,565000.0,604000.0,646000.0,686000.0,729000.0,772000.0,818000.0,872000.0,909000.0,956000.0,999000.0,1050000.0,1100000.0,1140000.0,1180000.0,1230000.0,1270000.0,1320000.0,1350000.0,1390000.0,1430000.0,1470000.0,1510000.0,1550000.0,1580000.0,1610000.0,1640000.0,1670000.0,1660000.0,1690000.0,1770000.0,1790000.0,1800000.0,1840000.0,1880000.0,1890000.0,1920000.0,1940000.0,1960000.0,1970000.0,2000000.0,2020000.0,2050000.0,2080000.0,2090000.0,2100000.0,2130000.0,2150000.0,2190000.0,2180000.0,2210000.0,2220000.0,2260000.0,2290000.0,2320000.0,2320000.0,2360000.0,2370000.0,2430000.0,2460000.0,2480000.0,2490000.0,2520000.0,2590000.0,2630000.0,2620000.0,2730000.0,2740000.0,2790000.0,2840000.0,2890000.0,2950000.0,2990000.0,3050000.0,3150000.0,3180000.0,3270000.0,3300000.0,3390000.0,3400000.0,9670.0,10200.0,10300.0,10600.0,10900.0,11300.0,11600.0,12000.0,12400.0,12900.0,13300.0,13800.0,14100.0,14800.0,15200.0,15800.0,16200.0,16900.0,17500.0,18100.0,18600.0,19300.0,19900.0,20700.0,21300.0,22100.0,22800.0,23700.0,24400.0,25200.0,26100.0,27000.0,27900.0,29000.0,30100.0,31200.0,32300.0,33400.0,34900.0,36200.0,37500.0,38900.0,40300.0,41800.0,43400.0,45200.0,46700.0,48400.0,50200.0,52400.0,53700.0,55800.0,57600.0,59600.0,61800.0,64100.0,66300.0,68600.0,71800.0,74800.0,78300.0,81800.0,85700.0,90200.0,95000.0,100000.0,106000.0,112000.0,119000.0,126000.0,134000.0,142000.0,151000.0,161000.0,170000.0,182000.0,194000.0,206000.0,219000.0,233000.0,248000.0,262000.0,279000.0,296000.0,315000.0,333000.0,352000.0,371000.0,391000.0,412000.0,434000.0,455000.0,476000.0,497000.0,520000.0,542000.0,562000.0,583000.0,604000.0,623000.0,642000.0,660000.0,678000.0,696000.0,708000.0,723000.0,731000.0,739000.0,745000.0,754000.0,762000.0,761000.0,763000.0,761000.0,761000.0,765000.0,759000.0,749000.0,738000.0,731000.0,725000.0,717000.0,704000.0,693000.0,685000.0,664000.0,680000.0,676000.0,676000.0,489000.0,645000.0,612000.0,619000.0,599000.0,587000.0,585000.0,570000.0,586000.0,574000.0,578000.0,558000.0,557000.0,562000.0,567000.0,569000.0,558000.0,571000.0,568000.0,595000.0,612000.0,613000.0,610000.0,618000.0,646000.0,650000.0,672000.0,694000.0,709000.0,722000.0,759000.0,784000.0,809000.0,806000.0,834000.0,877000.0,939000.0,914000.0,980000.0,969000.0,993000.0,1010000.0,1070000.0,1080000.0,1120000.0,1140000.0,1160000.0,1170000.0,1200000.0,1290000.0,1260000.0,1270000.0,0
1000000.0,926000.0,858000.0,794000.0,736000.0,681000.0,631000.0,584000.0,541000.0,501000.0,464000.0,430000.0,398000.0,369000.0,341000.0,316000.0,293000.0,271000.0,251000.0,233000.0,215000.0,200000.0,185000.0,171000.0,158000.0,147000.0,136000.0,126000.0,117000.0,108000.0,100000.0,92600.0,85800.0,79400.0,73600.0,68100.0,63100.0,58400.0,54100.0,50100.0,46400.0,43000.0,39800.0,36900.0,34100.0,31600.0,29300.0,27100.0,25100.0,23300.0,21500.0,19900.0,18500.0,17100.0,15800.0,14700.0,13600.0,12600.0,11700.0,10800.0,10000.0,9260.0,8570.0,7940.0,7350.0,6810.0,6310.0,5840.0,5410.0,5010.0,4640.0,4300.0,3980.0,3690.0,3420.0,3160.0,2930.0,2710.0,2510.0,2330.0,2150.0,2000.0,1850.0,1710.0,1580.0,1470.0,1360.0,1260.0,1170.0,1080.0,1000.0,926.0,858.0,794.0,736.0,681.0,631.0,584.0,541.0,501.0,464.0,430.0,398.0,369.0,341.0,316.0,293.0,271.0,251.0,233.0,215.0,200.0,185.0,171.0,159.0,147.0,136.0,126.0,117.0,108.0,100.0,92.6,85.8,79.4,73.6,68.1,63.1,58.4,54.1,50.1,46.4,43.0,39.8,36.9,34.1,31.6,29.3,27.1,25.1,23.3,21.6,20.0,18.5,17.1,15.8,14.7,13.6,12.6,11.7,10.8,10.0,9.26,8.58,7.94,7.36,6.81,6.31,5.84,5.41,5.01,4.64,4.3,3.98,3.69,3.41,3.16,2.93,2.71,2.51,2.33,2.15,2.0,1.85,1.71,1.58,1.47,1.36,1.26,1.17,1.08,1.0,3250.0,3460.0,3620.0,3820.0,4030.0,4220.0,4400.0,4620.0,4820.0,4980.0,5220.0,5420.0,5620.0,5850.0,6060.0,6280.0,6450.0,6700.0,6910.0,7200.0,7420.0,7700.0,7910.0,8220.0,8490.0,8790.0,9030.0,9330.0,9650.0,9970.0,10300.0,10700.0,11000.0,11400.0,11800.0,12100.0,12600.0,13000.0,13400.0,13800.0,14200.0,14600.0,15100.0,15400.0,15800.0,16300.0,16500.0,16900.0,17300.0,17800.0,18000.0,18300.0,18800.0,19100.0,19500.0,19600.0,20100.0,20800.0,21600.0,22100.0,22800.0,23800.0,24900.0,26200.0,27400.0,28900.0,30700.0,32500.0,34700.0,36900.0,39900.0,42900.0,46400.0,49700.0,54000.0,58800.0,64000.0,70200.0,76100.0,83200.0,91800.0,101000.0,110000.0,120000.0,132000.0,146000.0,161000.0,176000.0,194000.0,209000.0,227000.0,251000.0,275000.0,298000.0,319000.0,345000.0,374000.0,402000.0,434000.0,462000.0,491000.0,523000.0,559000.0,589000.0,626000.0,656000.0,685000.0,719000.0,749000.0,784000.0,811000.0,846000.0,872000.0,898000.0,930000.0,957000.0,977000.0,1010000.0,1020000.0,1050000.0,1060000.0,1080000.0,1110000.0,1120000.0,1140000.0,1150000.0,1160000.0,1180000.0,1190000.0,1290000.0,1210000.0,1220000.0,1240000.0,1260000.0,1250000.0,1250000.0,1260000.0,1270000.0,1300000.0,1290000.0,1280000.0,1290000.0,1300000.0,1320000.0,1320000.0,1320000.0,1310000.0,1310000.0,1340000.0,1360000.0,1360000.0,1360000.0,1360000.0,1400000.0,1420000.0,1430000.0,1460000.0,1470000.0,1460000.0,1490000.0,1570000.0,1570000.0,1610000.0,1630000.0,1670000.0,1730000.0,1740000.0,1750000.0,1900000.0,1900000.0,2020000.0,2050000.0,2020000.0,2230000.0,2230000.0,2260000.0,2380000.0,2380000.0,2630000.0,2550000.0,2640000.0,4710.0,4820.0,4950.0,5100.0,5250.0,5410.0,5550.0,5710.0,5840.0,6000.0,6190.0,6380.0,6550.0,6730.0,6990.0,7170.0,7420.0,7700.0,7910.0,8230.0,8510.0,8760.0,9160.0,9460.0,9830.0,10200.0,10600.0,11000.0,11400.0,11900.0,12500.0,12900.0,13400.0,14000.0,14600.0,15200.0,15900.0,16600.0,17300.0,18000.0,18900.0,19600.0,20600.0,21600.0,22700.0,23700.0,25000.0,26400.0,27800.0,29300.0,31100.0,32900.0,34900.0,37400.0,39600.0,42300.0,45000.0,48300.0,51500.0,55200.0,59000.0,63200.0,67600.0,72400.0,77300.0,83100.0,88800.0,95100.0,102000.0,109000.0,116000.0,125000.0,133000.0,142000.0,151000.0,162000.0,173000.0,183000.0,195000.0,207000.0,220000.0,233000.0,245000.0,260000.0,275000.0,289000.0,305000.0,321000.0,335000.0,350000.0,366000.0,381000.0,396000.0,411000.0,425000.0,437000.0,448000.0,459000.0,467000.0,481000.0,487000.0,492000.0,497000.0,499000.0,499000.0,505000.0,507000.0,500000.0,494000.0,486000.0,487000.0,486000.0,474000.0,460000.0,448000.0,439000.0,440000.0,430000.0,414000.0,398000.0,377000.0,378000.0,378000.0,363000.0,347000.0,333000.0,316000.0,318000.0,309000.0,322000.0,265000.0,287000.0,284000.0,278000.0,280000.0,273000.0,256000.0,265000.0,276000.0,273000.0,272000.0,268000.0,268000.0,302000.0,312000.0,317000.0,318000.0,325000.0,354000.0,384000.0,400000.0,408000.0,423000.0,461000.0,493000.0,529000.0,554000.0,584000.0,596000.0,613000.0,688000.0,723000.0,727000.0,757000.0,771000.0,874000.0,867000.0,885000.0,1000000.0,1030000.0,1040000.0,1080000.0,1090000.0,1190000.0,1120000.0,1280000.0,1220000.0,1230000.0,1300000.0,1320000.0,1440000.0,1
1000000.0,926000.0,858000.0,794000.0,736000.0,681000.0,631000.0,584000.0,541000.0,501000.0,464000.0,430000.0,398000.0,369000.0,341000.0,316000.0,293000.0,271000.0,251000.0,233000.0,215000.0,200000.0,185000.0,171000.0,158000.0,147000.0,136000.0,126000.0,117000.0,108000.0,100000.0,92600.0,85800.0,79400.0,73600.0,68100.0,63100.0,58400.0,54100.0,50100.0,46400.0,43000.0,39800.0,36900.0,34100.0,31600.0,29300.0,27100.0,25100.0,23300.0,21500.0,19900.0,18500.0,17100.0,15800.0,14700.0,13600.0,12600.0,11700.0,10800.0,10000.0,9260.0,8570.0,7940.0,7350.0,6810.0,6310.0,5840.0,5410.0,5010.0,4640.0,4300.0,3980.0,3690.0,3420.0,3160.0,2930.0,2710.0,2510.0,2330.0,2150.0,2000.0,1850.0,1710.0,1580.0,1470.0,1360.0,1260.0,1170.0,1080.0,1000.0,926.0,858.0,794.0,736.0,681.0,631.0,584.0,541.0,501.0,464.0,430.0,398.0,369.0,341.0,316.0,293.0,271.0,251.0,233.0,215.0,200.0,185.0,171.0,159.0,147.0,136.0,126.0,117.0,108.0,100.0,92.6,85.8,79.4,73.6,68.1,63.1,58.4,54.1,50.1,46.4,43.0,39.8,36.9,34.1,31.6,29.3,27.1,25.1,23.3,21.6,20.0,18.5,17.1,15.8,14.7,13.6,12.6,11.7,10.8,10.0,9.26,8.58,7.94,7.36,6.81,6.31,5.84,5.41,5.01,4.64,4.3,3.98,3.69,3.41,3.16,2.93,2.71,2.51,2.33,2.15,2.0,1.85,1.71,1.58,1.47,1.36,1.26,1.17,1.08,1.0,3590.0,3830.0,4020.0,4210.0,4400.0,4620.0,4830.0,5020.0,5260.0,5440.0,5640.0,5840.0,6070.0,6250.0,6470.0,6620.0,6850.0,7060.0,7310.0,7530.0,7770.0,8040.0,8260.0,8510.0,8740.0,9000.0,9330.0,9610.0,9860.0,10200.0,10400.0,10800.0,11200.0,11500.0,11800.0,12200.0,12500.0,12900.0,13300.0,13700.0,13900.0,14300.0,14600.0,15100.0,15400.0,15700.0,16100.0,16300.0,16600.0,16900.0,17300.0,17700.0,18100.0,18600.0,19100.0,19400.0,20200.0,20500.0,21500.0,22400.0,23300.0,24500.0,25900.0,27400.0,29000.0,30600.0,32700.0,34600.0,37600.0,40700.0,43100.0,47500.0,51000.0,55700.0,59800.0,65800.0,71600.0,77500.0,85500.0,94300.0,103000.0,112000.0,122000.0,134000.0,146000.0,160000.0,173000.0,186000.0,206000.0,225000.0,243000.0,261000.0,280000.0,301000.0,321000.0,347000.0,372000.0,391000.0,415000.0,441000.0,465000.0,491000.0,513000.0,536000.0,562000.0,580000.0,610000.0,629000.0,652000.0,671000.0,692000.0,712000.0,731000.0,751000.0,767000.0,785000.0,797000.0,815000.0,831000.0,845000.0,858000.0,867000.0,876000.0,887000.0,903000.0,914000.0,914000.0,915000.0,917000.0,998000.0,952000.0,960000.0,955000.0,958000.0,959000.0,975000.0,987000.0,980000.0,978000.0,975000.0,991000.0,1020000.0,1010000.0,1010000.0,998000.0,998000.0,1040000.0,1050000.0,1050000.0,1050000.0,1050000.0,1080000.0,1120000.0,1120000.0,1120000.0,1130000.0,1150000.0,1190000.0,1250000.0,1270000.0,1300000.0,1310000.0,1400000.0,1430000.0,1460000.0,1460000.0,1620000.0,1610000.0,1640000.0,1640000.0,1770000.0,1830000.0,1910000.0,1890000.0,2130000.0,2010000.0,2170000.0,2360000.0,2410000.0,2280000.0,2580000.0,4920.0,5030.0,5110.0,5250.0,5290.0,5450.0,5540.0,5710.0,5820.0,5960.0,6110.0,6250.0,6420.0,6560.0,6780.0,6960.0,7180.0,7390.0,7630.0,7840.0,8110.0,8320.0,8730.0,9040.0,9390.0,9670.0,10000.0,10400.0,10900.0,11300.0,11800.0,12300.0,12800.0,13200.0,13800.0,14400.0,15000.0,15700.0,16300.0,17100.0,17900.0,18700.0,19600.0,20700.0,21700.0,22700.0,24100.0,25500.0,26900.0,28400.0,30100.0,32000.0,34100.0,36400.0,39000.0,41600.0,44200.0,47200.0,50700.0,54200.0,58000.0,62200.0,66600.0,71400.0,76500.0,81000.0,86800.0,92700.0,99000.0,106000.0,113000.0,119000.0,128000.0,136000.0,144000.0,154000.0,163000.0,173000.0,182000.0,194000.0,204000.0,215000.0,224000.0,237000.0,248000.0,258000.0,272000.0,282000.0,293000.0,304000.0,314000.0,322000.0,334000.0,341000.0,348000.0,354000.0,360000.0,367000.0,372000.0,374000.0,374000.0,374000.0,376000.0,378000.0,375000.0,369000.0,360000.0,358000.0,361000.0,357000.0,346000.0,332000.0,324000.0,321000.0,324000.0,310000.0,300000.0,285000.0,280000.0,283000.0,277000.0,259000.0,254000.0,242000.0,249000.0,250000.0,244000.0,226000.0,218000.0,205000.0,221000.0,228000.0,221000.0,211000.0,212000.0,229000.0,238000.0,234000.0,236000.0,229000.0,243000.0,278000.0,284000.0,285000.0,294000.0,299000.0,342000.0,373000.0,391000.0,390000.0,402000.0,445000.0,496000.0,518000.0,515000.0,554000.0,578000.0,642000.0,701000.0,702000.0,727000.0,750000.0,815000.0,864000.0,882000.0,910000.0,932000.0,990000.0,982000.0,1040000.0,1150000.0,1100000.0,1130000.0,1180000.0,1270000.0,1160000.0,1400000.0,1220000.0,1330000.0,1230000.0,1290000.0,2
1000000.0,926000.0,858000.0,794000.0,736000.0,681000.0,631000.0,584000.0,541000.0,501000.0,464000.0,430000.0,398000.0,369000.0,341000.0,316000.0,293000.0,271000.0,251000.0,233000.0,215000.0,200000.0,185000.0,171000.0,158000.0,147000.0,136000.0,126000.0,117000.0,108000.0,100000.0,92600.0,85800.0,79400.0,73600.0,68100.0,63100.0,58400.0,54100.0,50100.0,46400.0,43000.0,39800.0,36900.0,34100.0,31600.0,29300.0,27100.0,25100.0,23300.0,21500.0,19900.0,18500.0,17100.0,15800.0,14700.0,13600.0,12600.0,11700.0,10800.0,10000.0,9260.0,8570.0,7940.0,7350.0,6810.0,6310.0,5840.0,5410.0,5010.0,4640.0,4300.0,3980.0,3690.0,3420.0,3160.0,2930.0,2710.0,2510.0,2330.0,2150.0,2000.0,1850.0,1710.0,1580.0,1470.0,1360.0,1260.0,1170.0,1080.0,1000.0,926.0,858.0,794.0,736.0,681.0,631.0,584.0,541.0,501.0,464.0,430.0,398.0,369.0,341.0,316.0,293.0,271.0,251.0,233.0,215.0,200.0,185.0,171.0,159.0,147.0,136.0,126.0,117.0,108.0,100.0,92.6,85.8,79.4,73.6,68.1,63.1,58.4,54.1,50.1,46.4,43.0,39.8,36.9,34.1,31.6,29.3,27.1,25.1,23.3,21.6,20.0,18.5,17.1,15.8,14.7,13.6,12.6,11.7,10.8,10.0,9.26,8.58,7.94,7.36,6.81,6.31,5.84,5.41,5.01,4.64,4.3,3.98,3.69,3.41,3.16,2.93,2.71,2.51,2.33,2.15,2.0,1.85,1.71,1.58,1.47,1.36,1.26,1.17,1.08,1.0,3380.0,3870.0,4390.0,4950.0,5430.0,6080.0,6890.0,7690.0,8510.0,9370.0,10200.0,11400.0,12200.0,13100.0,14300.0,15300.0,16500.0,17800.0,18600.0,19900.0,21000.0,22300.0,23500.0,24600.0,25900.0,26800.0,28200.0,29200.0,30300.0,31300.0,32500.0,33700.0,34800.0,36000.0,36900.0,38100.0,38400.0,39700.0,40600.0,42100.0,43200.0,44500.0,45600.0,47100.0,48300.0,49900.0,50900.0,52800.0,54100.0,55600.0,57500.0,59100.0,60700.0,63100.0,65000.0,67000.0,69300.0,71600.0,74400.0,77300.0,80700.0,83800.0,88000.0,92200.0,96200.0,101000.0,106000.0,110000.0,116000.0,122000.0,128000.0,134000.0,140000.0,146000.0,153000.0,159000.0,166000.0,172000.0,178000.0,185000.0,190000.0,196000.0,201000.0,205000.0,211000.0,215000.0,219000.0,222000.0,225000.0,228000.0,231000.0,233000.0,235000.0,236000.0,238000.0,239000.0,240000.0,242000.0,241000.0,241000.0,241000.0,242000.0,242000.0,242000.0,241000.0,241000.0,241000.0,240000.0,239000.0,238000.0,237000.0,235000.0,235000.0,235000.0,233000.0,232000.0,231000.0,230000.0,229000.0,228000.0,226000.0,225000.0,224000.0,223000.0,222000.0,220000.0,219000.0,218000.0,217000.0,215000.0,214000.0,213000.0,212000.0,211000.0,211000.0,210000.0,208000.0,208000.0,207000.0,206000.0,207000.0,205000.0,205000.0,204000.0,204000.0,205000.0,204000.0,205000.0,205000.0,206000.0,206000.0,208000.0,209000.0,211000.0,212000.0,214000.0,217000.0,220000.0,222000.0,225000.0,229000.0,233000.0,237000.0,240000.0,245000.0,248000.0,253000.0,259000.0,264000.0,270000.0,274000.0,280000.0,285000.0,292000.0,299000.0,303000.0,308000.0,312000.0,318000.0,324000.0,331000.0,12000.0,12800.0,13500.0,14200.0,14800.0,15700.0,16400.0,17100.0,18000.0,18500.0,19300.0,20100.0,20600.0,21200.0,21900.0,22400.0,23000.0,23600.0,24000.0,24600.0,24800.0,25400.0,26000.0,26600.0,26800.0,27400.0,27500.0,28100.0,28600.0,29000.0,29400.0,30000.0,30700.0,31100.0,31700.0,32300.0,32900.0,33900.0,34600.0,35500.0,36400.0,37200.0,38400.0,39300.0,40700.0,41700.0,43000.0,44600.0,45800.0,47200.0,49200.0,50800.0,52800.0,55000.0,57100.0,58900.0,61400.0,64000.0,66400.0,68500.0,71200.0,73600.0,76800.0,79500.0,82200.0,84200.0,87400.0,89300.0,90900.0,92900.0,94300.0,95600.0,96800.0,97300.0,97300.0,96500.0,95400.0,94500.0,92800.0,90600.0,89000.0,86400.0,82800.0,80000.0,76300.0,73900.0,69400.0,66400.0,61600.0,58700.0,55600.0,52200.0,47500.0,44600.0,41200.0,37600.0,34100.0,31100.0,28700.0,26000.0,23500.0,21000.0,18100.0,15500.0,13700.0,11400.0,10400.0,8300.0,6160.0,4310.0,3400.0,2060.0,1070.0,-225.0,-870.0,-1350.0,-2980.0,-3760.0,-3490.0,-4370.0,-4780.0,-4500.0,-4420.0,-4650.0,-4990.0,-4720.0,-4050.0,-3460.0,-3080.0,-4890.0,-1560.0,-1580.0,-457.0,565.0,1480.0,2690.0,3990.0,5520.0,8250.0,11000.0,11200.0,13200.0,15400.0,17700.0,20600.0,22900.0,26100.0,28300.0,31500.0,34500.0,38100.0,41700.0,44900.0,48500.0,51900.0,55500.0,59600.0,62500.0,66800.0,70800.0,74500.0,78100.0,81800.0,85400.0,89400.0,93000.0,95900.0,98900.0,102000.0,106000.0,109000.0,110000.0,111000.0,114000.0,116000.0,119000.0,121000.0,121000.0,120000.0,119000.0,120000.0,3
