Temperature,index,value
70,Frequency,1000000.0
70,Frequency,926000.0
70,Frequency,858000.0
70,Frequency,794000.0
70,Frequency,736000.0
70,Frequency,681000.0
70,Frequency,631000.0
70,Frequency,584000.0
70,Frequency,541000.0
70,Frequency,501000.0
70,Frequency,464000.0
70,Frequency,430000.0
70,Frequency,398000.0
70,Frequency,369000.0
70,Frequency,341000.0
70,Frequency,316000.0
70,Frequency,293000.0
70,Frequency,271000.0
70,Frequency,251000.0
70,Frequency,233000.0
70,Frequency,215000.0
70,Frequency,200000.0
70,Frequency,185000.0
70,Frequency,171000.0
70,Frequency,158000.0
70,Frequency,147000.0
70,Frequency,136000.0
70,Frequency,126000.0
70,Frequency,117000.0
70,Frequency,108000.0
70,Frequency,100000.0
70,Frequency,92600.0
70,Frequency,85800.0
70,Frequency,79400.0
70,Frequency,73600.0
70,Frequency,68100.0
70,Frequency,63100.0
70,Frequency,58400.0
70,Frequency,54100.0
70,Frequency,50100.0
70,Frequency,46400.0
70,Frequency,43000.0
70,Frequency,39800.0
70,Frequency,36900.0
70,Frequency,34100.0
70,Frequency,31600.0
70,Frequency,29300.0
70,Frequency,27100.0
70,Frequency,25100.0
70,Frequency,23300.0
70,Frequency,21500.0
70,Frequency,19900.0
70,Frequency,18500.0
70,Frequency,17100.0
70,Frequency,15800.0
70,Frequency,14700.0
70,Frequency,13600.0
70,Frequency,12600.0
70,Frequency,11700.0
70,Frequency,10800.0
70,Frequency,10000.0
70,Frequency,9260.0
70,Frequency,8570.0
70,Frequency,7940.0
70,Frequency,7350.0
70,Frequency,6810.0
70,Frequency,6310.0
70,Frequency,5840.0
70,Frequency,5410.0
70,Frequency,5010.0
70,Frequency,4640.0
70,Frequency,4300.0
70,Frequency,3980.0
70,Frequency,3690.0
70,Frequency,3420.0
70,Frequency,3160.0
70,Frequency,2930.0
70,Frequency,2710.0
70,Frequency,2510.0
70,Frequency,2330.0
70,Frequency,2150.0
70,Frequency,2000.0
70,Frequency,1850.0
70,Frequency,1710.0
70,Frequency,1580.0
70,Frequency,1470.0
70,Frequency,1360.0
70,Frequency,1260.0
70,Frequency,1170.0
70,Frequency,1080.0
70,Frequency,1000.0
70,Frequency,926.0
70,Frequency,858.0
70,Frequency,794.0
70,Frequency,736.0
70,Frequency,681.0
70,Frequency,631.0
70,Frequency,584.0
70,Frequency,541.0
70,Frequency,501.0
70,Frequency,464.0
70,Frequency,430.0
70,Frequency,398.0
70,Frequency,369.0
70,Frequency,341.0
70,Frequency,316.0
70,Frequency,293.0
70,Frequency,271.0
70,Frequency,251.0
70,Frequency,233.0
70,Frequency,215.0
70,Frequency,200.0
70,Frequency,185.0
70,Frequency,171.0
70,Frequency,159.0
70,Frequency,147.0
70,Frequency,136.0
70,Frequency,126.0
70,Frequency,117.0
70,Frequency,108.0
70,Frequency,100.0
70,Frequency,92.6
70,Frequency,85.8
70,Frequency,79.4
70,Frequency,73.6
70,Frequency,68.1
70,Frequency,63.1
70,Frequency,58.4
70,Frequency,54.1
70,Frequency,50.1
70,Frequency,46.4
70,Frequency,43.0
70,Frequency,39.8
70,Frequency,36.9
70,Frequency,34.1
70,Frequency,31.6
70,Frequency,29.3
70,Frequency,27.1
70,Frequency,25.1
70,Frequency,23.3
70,Frequency,21.6
70,Frequency,20.0
70,Frequency,18.5
70,Frequency,17.1
70,Frequency,15.8
70,Frequency,14.7
70,Frequency,13.6
70,Frequency,12.6
70,Frequency,11.7
70,Frequency,10.8
70,Frequency,10.0
70,Frequency,9.26
70,Frequency,8.58
70,Frequency,7.94
70,Frequency,7.36
70,Frequency,6.81
70,Frequency,6.31
70,Frequency,5.84
70,Frequency,5.41
70,Frequency,5.01
70,Frequency,4.64
70,Frequency,4.3
70,Frequency,3.98
70,Frequency,3.69
70,Frequency,3.41
70,Frequency,3.16
70,Frequency,2.93
70,Frequency,2.71
70,Frequency,2.51
70,Frequency,2.33
70,Frequency,2.15
70,Frequency,2.0
70,Frequency,1.85
70,Frequency,1.71
70,Frequency,1.58
70,Frequency,1.47
70,Frequency,1.36
70,Frequency,1.26
70,Frequency,1.17
70,Frequency,1.08
70,Frequency,1.0
70,Re(Z),4350.0
70,Re(Z),4860.0
70,Re(Z),5550.0
70,Re(Z),6080.0
70,Re(Z),6790.0
70,Re(Z),7500.0
70,Re(Z),8270.0
70,Re(Z),9010.0
70,Re(Z),9990.0
70,Re(Z),10900.0
70,Re(Z),11800.0
70,Re(Z),12900.0
70,Re(Z),13700.0
70,Re(Z),14700.0
70,Re(Z),15900.0
70,Re(Z),16800.0
70,Re(Z),17900.0
70,Re(Z),19000.0
70,Re(Z),19600.0
70,Re(Z),21000.0
70,Re(Z),22200.0
70,Re(Z),23200.0
70,Re(Z),24100.0
70,Re(Z),25200.0
70,Re(Z),26300.0
70,Re(Z),27400.0
70,Re(Z),28700.0
70,Re(Z),29600.0
70,Re(Z),30600.0
70,Re(Z),31600.0
70,Re(Z),32700.0
70,Re(Z),33700.0
70,Re(Z),34800.0
70,Re(Z),36100.0
70,Re(Z),37400.0
70,Re(Z),38300.0
70,Re(Z),39500.0
70,Re(Z),40500.0
70,Re(Z),41400.0
70,Re(Z),42500.0
70,Re(Z),43800.0
70,Re(Z),45200.0
70,Re(Z),46600.0
70,Re(Z),48100.0
70,Re(Z),49300.0
70,Re(Z),51000.0
70,Re(Z),52600.0
70,Re(Z),54200.0
70,Re(Z),56000.0
70,Re(Z),57600.0
70,Re(Z),59600.0
70,Re(Z),61400.0
70,Re(Z),63500.0
70,Re(Z),65700.0
70,Re(Z),67700.0
70,Re(Z),70100.0
70,Re(Z),72100.0
70,Re(Z),74500.0
70,Re(Z),77000.0
70,Re(Z),79500.0
70,Re(Z),82100.0
70,Re(Z),84200.0
70,Re(Z),86900.0
70,Re(Z),89600.0
70,Re(Z),91800.0
70,Re(Z),94200.0
70,Re(Z),96300.0
70,Re(Z),98300.0
70,Re(Z),100000.0
70,Re(Z),102000.0
70,Re(Z),104000.0
70,Re(Z),106000.0
70,Re(Z),107000.0
70,Re(Z),109000.0
70,Re(Z),110000.0
70,Re(Z),112000.0
70,Re(Z),113000.0
70,Re(Z),114000.0
70,Re(Z),115000.0
70,Re(Z),116000.0
70,Re(Z),117000.0
70,Re(Z),118000.0
70,Re(Z),119000.0
70,Re(Z),120000.0
70,Re(Z),120000.0
