Temperature,index,value
60,Frequency,1000000.0
60,Frequency,926000.0
60,Frequency,858000.0
60,Frequency,794000.0
60,Frequency,736000.0
60,Frequency,681000.0
60,Frequency,631000.0
60,Frequency,584000.0
60,Frequency,541000.0
60,Frequency,501000.0
60,Frequency,464000.0
60,Frequency,430000.0
60,Frequency,398000.0
60,Frequency,369000.0
60,Frequency,341000.0
60,Frequency,316000.0
60,Frequency,293000.0
60,Frequency,271000.0
60,Frequency,251000.0
60,Frequency,233000.0
60,Frequency,215000.0
60,Frequency,200000.0
60,Frequency,185000.0
60,Frequency,171000.0
60,Frequency,158000.0
60,Frequency,147000.0
60,Frequency,136000.0
60,Frequency,126000.0
60,Frequency,117000.0
60,Frequency,108000.0
60,Frequency,100000.0
60,Frequency,92600.0
60,Frequency,85800.0
60,Frequency,79400.0
60,Frequency,73600.0
60,Frequency,68100.0
60,Frequency,63100.0
60,Frequency,58400.0
60,Frequency,54100.0
60,Frequency,50100.0
60,Frequency,46400.0
60,Frequency,43000.0
60,Frequency,39800.0
60,Frequency,36900.0
60,Frequency,34100.0
60,Frequency,31600.0
60,Frequency,29300.0
60,Frequency,27100.0
60,Frequency,25100.0
60,Frequency,23300.0
60,Frequency,21500.0
60,Frequency,19900.0
60,Frequency,18500.0
60,Frequency,17100.0
60,Frequency,15800.0
60,Frequency,14700.0
60,Frequency,13600.0
60,Frequency,12600.0
60,Frequency,11700.0
60,Frequency,10800.0
60,Frequency,10000.0
60,Frequency,9260.0
60,Frequency,8570.0
60,Frequency,7940.0
60,Frequency,7350.0
60,Frequency,6810.0
60,Frequency,6310.0
60,Frequency,5840.0
60,Frequency,5410.0
60,Frequency,5010.0
60,Frequency,4640.0
60,Frequency,4300.0
60,Frequency,3980.0
60,Frequency,3690.0
60,Frequency,3420.0
60,Frequency,3160.0
60,Frequency,2930.0
60,Frequency,2710.0
60,Frequency,2510.0
60,Frequency,2330.0
60,Frequency,2150.0
60,Frequency,2000.0
60,Frequency,1850.0
60,Frequency,1710.0
60,Frequency,1580.0
60,Frequency,1470.0
60,Frequency,1360.0
60,Frequency,1260.0
60,Frequency,1170.0
60,Frequency,1080.0
60,Frequency,1000.0
60,Frequency,926.0
60,Frequency,858.0
60,Frequency,794.0
60,Frequency,736.0
60,Frequency,681.0
60,Frequency,631.0
60,Frequency,584.0
60,Frequency,541.0
60,Frequency,501.0
60,Frequency,464.0
60,Frequency,430.0
60,Frequency,398.0
60,Frequency,369.0
60,Frequency,341.0
60,Frequency,316.0
60,Frequency,293.0
60,Frequency,271.0
60,Frequency,251.0
60,Frequency,233.0
60,Frequency,215.0
60,Frequency,200.0
60,Frequency,185.0
60,Frequency,171.0
60,Frequency,159.0
60,Frequency,147.0
60,Frequency,136.0
60,Frequency,126.0
60,Frequency,117.0
60,Frequency,108.0
60,Frequency,100.0
60,Frequency,92.6
60,Frequency,85.8
60,Frequency,79.4
60,Frequency,73.6
60,Frequency,68.1
60,Frequency,63.1
60,Frequency,58.4
60,Frequency,54.1
60,Frequency,50.1
60,Frequency,46.4
60,Frequency,43.0
60,Frequency,39.8
60,Frequency,36.9
60,Frequency,34.1
60,Frequency,31.6
60,Frequency,29.3
60,Frequency,27.1
60,Frequency,25.1
60,Frequency,23.3
60,Frequency,21.6
60,Frequency,20.0
60,Frequency,18.5
60,Frequency,17.1
60,Frequency,15.8
60,Frequency,14.7
60,Frequency,13.6
60,Frequency,12.6
60,Frequency,11.7
60,Frequency,10.8
60,Frequency,10.0
60,Frequency,9.26
60,Frequency,8.58
60,Frequency,7.94
60,Frequency,7.36
60,Frequency,6.81
60,Frequency,6.31
60,Frequency,5.84
60,Frequency,5.41
60,Frequency,5.01
60,Frequency,4.64
60,Frequency,4.3
60,Frequency,3.98
60,Frequency,3.69
60,Frequency,3.41
60,Frequency,3.16
60,Frequency,2.93
60,Frequency,2.71
60,Frequency,2.51
60,Frequency,2.33
60,Frequency,2.15
60,Frequency,2.0
60,Frequency,1.85
60,Frequency,1.71
60,Frequency,1.58
60,Frequency,1.47
60,Frequency,1.36
60,Frequency,1.26
60,Frequency,1.17
60,Frequency,1.08
60,Frequency,1.0
60,Re(Z),3900.0
60,Re(Z),4410.0
60,Re(Z),4960.0
60,Re(Z),5560.0
60,Re(Z),6250.0
60,Re(Z),7040.0
60,Re(Z),7780.0
60,Re(Z),8680.0
60,Re(Z),9670.0
60,Re(Z),10700.0
60,Re(Z),11600.0
60,Re(Z),12700.0
60,Re(Z),13800.0
60,Re(Z),14900.0
60,Re(Z),16000.0
60,Re(Z),17300.0
60,Re(Z),18500.0
60,Re(Z),19800.0
60,Re(Z),21000.0
60,Re(Z),22200.0
60,Re(Z),23500.0
60,Re(Z),24800.0
60,Re(Z),25900.0
60,Re(Z),27200.0
60,Re(Z),28500.0
60,Re(Z),29900.0
60,Re(Z),30800.0
60,Re(Z),32300.0
60,Re(Z),33500.0
60,Re(Z),34800.0
60,Re(Z),36100.0
60,Re(Z),37100.0
60,Re(Z),38500.0
60,Re(Z),39800.0
60,Re(Z),41000.0
60,Re(Z),41800.0
60,Re(Z),43000.0
60,Re(Z),44200.0
60,Re(Z),45900.0
60,Re(Z),47100.0
60,Re(Z),48600.0
60,Re(Z),50000.0
60,Re(Z),51600.0
60,Re(Z),53100.0
60,Re(Z),54600.0
60,Re(Z),56100.0
60,Re(Z),57900.0
60,Re(Z),59600.0
60,Re(Z),61600.0
60,Re(Z),63400.0
60,Re(Z),65500.0
60,Re(Z),67100.0
60,Re(Z),69200.0
60,Re(Z),72000.0
60,Re(Z),74200.0
60,Re(Z),76400.0
60,Re(Z),78600.0
60,Re(Z),81000.0
60,Re(Z),83800.0
60,Re(Z),86700.0
60,Re(Z),89500.0
60,Re(Z),91800.0
60,Re(Z),94700.0
60,Re(Z),97800.0
60,Re(Z),100000.0
60,Re(Z),103000.0
60,Re(Z),106000.0
60,Re(Z),108000.0
60,Re(Z),110000.0
60,Re(Z),113000.0
60,Re(Z),115000.0
60,Re(Z),117000.0
60,Re(Z),119000.0
60,Re(Z),121000.0
60,Re(Z),122000.0
60,Re(Z),124000.0
60,Re(Z),125000.0
60,Re(Z),127000.0
60,Re(Z),128000.0
60,Re(Z),129000.0
60,Re(Z),130000.0
60,Re(Z),131000.0
60,Re(Z),132000.0
60,Re(Z),133000.0
60,Re(Z),134000.0
60,Re(Z),135000.0
60,Re(Z),135000.0
60,Re(Z),136000.0
60,Re(Z),137000.0
60,Re(Z),137000.0
60,Re(Z),137000.0
60,Re(Z),138000.0
60,Re(Z),138000.0
60,Re(Z),138000.0
60,Re(Z),139000.0
60,Re(Z),139000.0
60,Re(Z),139000.0
60,Re(Z),139000.0
60,Re(Z),139000.0
60,Re(Z),139000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),139000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),140000.0
60,Re(Z),141000.0
60,Re(Z),141000.0
60,Re(Z),141000.0
60,Re(Z),141000.0
60,Re(Z),142000.0
60,Re(Z),142000.0
60,Re(Z),143000.0
60,Re(Z),144000.0
60,Re(Z),144000.0
60,Re(Z),144000.0
60,Re(Z),145000.0
60,Re(Z),146000.0
60,Re(Z),146000.0
60,Re(Z),147000.0
60,Re(Z),148000.0
60,Re(Z),148000.0
60,Re(Z),149000.0
60,Re(Z),150000.0
60,Re(Z),152000.0
60,Re(Z),152000.0
60,Re(Z),154000.0
60,Re(Z),155000.0
60,Re(Z),156000.0
60,Re(Z),158000.0
60,Re(Z),159000.0
60,Re(Z),161000.0
60,Re(Z),163000.0
60,Re(Z),165000.0
60,Re(Z),167000.0
60,Re(Z),169000.0
60,Re(Z),171000.0
60,Re(Z),174000.0
60,Re(Z),176000.0
