Temperature,index,value
30,Frequency,1000000.0
30,Frequency,926000.0
30,Frequency,858000.0
30,Frequency,794000.0
30,Frequency,736000.0
30,Frequency,681000.0
30,Frequency,631000.0
30,Frequency,584000.0
30,Frequency,541000.0
30,Frequency,501000.0
30,Frequency,464000.0
30,Frequency,430000.0
30,Frequency,398000.0
30,Frequency,369000.0
30,Frequency,341000.0
30,Frequency,316000.0
30,Frequency,293000.0
30,Frequency,271000.0
30,Frequency,251000.0
30,Frequency,233000.0
30,Frequency,215000.0
30,Frequency,200000.0
30,Frequency,185000.0
30,Frequency,171000.0
30,Frequency,158000.0
30,Frequency,147000.0
30,Frequency,136000.0
30,Frequency,126000.0
30,Frequency,117000.0
30,Frequency,108000.0
30,Frequency,100000.0
30,Frequency,92600.0
30,Frequency,85800.0
30,Frequency,79400.0
30,Frequency,73600.0
30,Frequency,68100.0
30,Frequency,63100.0
30,Frequency,58400.0
30,Frequency,54100.0
30,Frequency,50100.0
30,Frequency,46400.0
30,Frequency,43000.0
30,Frequency,39800.0
30,Frequency,36900.0
30,Frequency,34100.0
30,Frequency,31600.0
30,Frequency,29300.0
30,Frequency,27100.0
30,Frequency,25100.0
30,Frequency,23300.0
30,Frequency,21500.0
30,Frequency,19900.0
30,Frequency,18500.0
30,Frequency,17100.0
30,Frequency,15800.0
30,Frequency,14700.0
30,Frequency,13600.0
30,Frequency,12600.0
30,Frequency,11700.0
30,Frequency,10800.0
30,Frequency,10000.0
30,Frequency,9260.0
30,Frequency,8570.0
30,Frequency,7940.0
30,Frequency,7350.0
30,Frequency,6810.0
30,Frequency,6310.0
30,Frequency,5840.0
30,Frequency,5410.0
30,Frequency,5010.0
30,Frequency,4640.0
30,Frequency,4300.0
30,Frequency,3980.0
30,Frequency,3690.0
30,Frequency,3420.0
30,Frequency,3160.0
30,Frequency,2930.0
30,Frequency,2710.0
30,Frequency,2510.0
30,Frequency,2330.0
30,Frequency,2150.0
30,Frequency,2000.0
30,Frequency,1850.0
30,Frequency,1710.0
30,Frequency,1580.0
30,Frequency,1470.0
30,Frequency,1360.0
30,Frequency,1260.0
30,Frequency,1170.0
30,Frequency,1080.0
30,Frequency,1000.0
30,Frequency,926.0
30,Frequency,858.0
30,Frequency,794.0
30,Frequency,736.0
30,Frequency,681.0
30,Frequency,631.0
30,Frequency,584.0
30,Frequency,541.0
30,Frequency,501.0
30,Frequency,464.0
30,Frequency,430.0
30,Frequency,398.0
30,Frequency,369.0
30,Frequency,341.0
30,Frequency,316.0
30,Frequency,293.0
30,Frequency,271.0
30,Frequency,251.0
30,Frequency,233.0
30,Frequency,215.0
30,Frequency,200.0
30,Frequency,185.0
30,Frequency,171.0
30,Frequency,159.0
30,Frequency,147.0
30,Frequency,136.0
30,Frequency,126.0
30,Frequency,117.0
30,Frequency,108.0
30,Frequency,100.0
30,Frequency,92.6
30,Frequency,85.8
30,Frequency,79.4
30,Frequency,73.6
30,Frequency,68.1
30,Frequency,63.1
30,Frequency,58.4
30,Frequency,54.1
30,Frequency,50.1
30,Frequency,46.4
30,Frequency,43.0
30,Frequency,39.8
30,Frequency,36.9
30,Frequency,34.1
30,Frequency,31.6
30,Frequency,29.3
30,Frequency,27.1
30,Frequency,25.1
30,Frequency,23.3
30,Frequency,21.6
30,Frequency,20.0
30,Frequency,18.5
30,Frequency,17.1
30,Frequency,15.8
30,Frequency,14.7
30,Frequency,13.6
30,Frequency,12.6
30,Frequency,11.7
30,Frequency,10.8
30,Frequency,10.0
30,Frequency,9.26
30,Frequency,8.58
30,Frequency,7.94
30,Frequency,7.36
30,Frequency,6.81
30,Frequency,6.31
30,Frequency,5.84
30,Frequency,5.41
30,Frequency,5.01
30,Frequency,4.64
30,Frequency,4.3
30,Frequency,3.98
30,Frequency,3.69
30,Frequency,3.41
30,Frequency,3.16
30,Frequency,2.93
30,Frequency,2.71
30,Frequency,2.51
30,Frequency,2.33
30,Frequency,2.15
30,Frequency,2.0
30,Frequency,1.85
30,Frequency,1.71
30,Frequency,1.58
30,Frequency,1.47
30,Frequency,1.36
30,Frequency,1.26
30,Frequency,1.17
30,Frequency,1.08
30,Frequency,1.0
30,Re(Z),3380.0
30,Re(Z),3870.0
30,Re(Z),4390.0
30,Re(Z),4950.0
30,Re(Z),5430.0
30,Re(Z),6080.0
30,Re(Z),6890.0
30,Re(Z),7690.0
30,Re(Z),8510.0
30,Re(Z),9370.0
30,Re(Z),10200.0
30,Re(Z),11400.0
30,Re(Z),12200.0
30,Re(Z),13100.0
30,Re(Z),14300.0
30,Re(Z),15300.0
30,Re(Z),16500.0
30,Re(Z),17800.0
30,Re(Z),18600.0
30,Re(Z),19900.0
30,Re(Z),21000.0
30,Re(Z),22300.0
30,Re(Z),23500.0
